,X,id,value,location,dates,measure,micrograms,value1,value2
80166,80166,1011512,0.132,Achara,10-Sep-09,Ammonium,1000,132,0.00887753
80185,80185,1011060,0.17,Decha,18-Sep-09,Ammonium,1000,170,0.011433183
80213,80213,1004873,7.42,Kohsoom,21-Sep-09,Ammonium,1000,7420,0.499024817
80262,80262,1006123,0.231,Chai,22-Sep-09,Ammonium,1000,231,0.015535678
80330,80330,1007511,0.095,Chai,22-Sep-09,Ammonium,1000,95,0.006389132
80372,80372,1008873,0.076,Chai,22-Sep-09,Ammonium,1000,76,0.005111305
80440,80440,1009749,0.143,Somchair,24-Sep-09,Ammonium,1000,143,0.009617325
80509,80509,1010525,0.214,Busarakhan,24-Sep-09,Ammonium,1000,214,0.01439236
80560,80560,1021910,0.09,Kannika,27-Sep-09,Ammonium,1000,90,0.006052862
80588,80588,1023067,0.103,Kannika,27-Sep-09,Ammonium,1000,103,0.006927164
80642,80642,1024218,0.076,Sakda,28-Sep-09,Ammonium,1000,76,0.005111305
80665,80665,1025339,0.06,Sakda,28-Sep-09,Ammonium,1000,60,0.004035241
80688,80688,1026460,0.177,Sakda,28-Sep-09,Ammonium,1000,177,0.011903961
80739,80739,1015455,3.995,Tansanee,04-Oct-09,Ammonium,1000,3995,0.268679804
80767,80767,1006206,0.134,Chai,05-Oct-09,Ammonium,1000,134,0.009012038
80780,80780,1007568,0.0945,Chai,05-Oct-09,Ammonium,1000,94.5,0.006355505
80793,80793,1008956,0.1245,Chai,05-Oct-09,Ammonium,1000,124.5,0.008373125
80808,80808,1024250,0.0792,Sakda,08-Oct-09,Ammonium,1000,79.2,0.005326518
80849,80849,1025371,0.0935,Sakda,08-Oct-09,Ammonium,1000,93.5,0.006288251
80890,80890,1026519,0.0871,Sakda,08-Oct-09,Ammonium,1000,87.1,0.005857825
80927,80927,1011094,0.059,Decha,10-Oct-09,Ammonium,1000,59,0.003967987
80937,80937,1020817,0.0951,Kannika,10-Oct-09,Ammonium,1000,95.1,0.006395857
80978,80978,1021946,0.113,Kannika,10-Oct-09,Ammonium,1000,113,0.007599704
81019,81019,1023130,0.0831,Kannika,10-Oct-09,Ammonium,1000,83.1,0.005588809
81059,81059,1011543,0.031,Achara,11-Oct-09,Ammonium,1000,31,0.002084875
81086,81086,1006227,0.135,Chai,19-Oct-09,Ammonium,1000,135,0.009079292
81155,81155,1007589,0.094,Chai,19-Oct-09,Ammonium,1000,94,0.006321878
81224,81224,1008977,0.114,Chai,19-Oct-09,Ammonium,1000,114,0.007666958
81294,81294,991513,0.217,Boonsri,22-Oct-09,Ammonium,1000,217,0.014594122
81347,81347,992884,0.233,Boonsri,22-Oct-09,Ammonium,1000,233,0.015670186
81400,81400,994251,0.241,Boonsri,22-Oct-09,Ammonium,1000,241,0.016208218
81453,81453,1004942,3.751,Kohsoom,29-Oct-09,Ammonium,1000,3751,0.252269823
81505,81505,1009839,0.264,Somchair,30-Oct-09,Ammonium,1000,264,0.017755061
81573,81573,1010587,0.204,Busarakhan,30-Oct-09,Ammonium,1000,204,0.01371982
81640,81640,1006315,0.044,Chai,31-Oct-09,Ammonium,1000,44,0.002959177
81652,81652,1007677,0.026,Chai,31-Oct-09,Ammonium,1000,26,0.001748604
81664,81664,1009065,0.02,Chai,31-Oct-09,Ammonium,1000,20,0.00134508
81678,81678,991584,0.053,Boonsri,07-Nov-09,Ammonium,1000,53,0.003564463
81730,81730,992955,0.055,Boonsri,07-Nov-09,Ammonium,1000,55,0.003698971
81782,81782,994322,0.053,Boonsri,07-Nov-09,Ammonium,1000,53,0.003564463
81832,81832,1020875,0.104,Kannika,13-Nov-09,Ammonium,1000,104,0.006994418
81872,81872,1022004,0.094,Kannika,13-Nov-09,Ammonium,1000,94,0.006321878
81939,81939,1023188,0.112,Kannika,13-Nov-09,Ammonium,1000,112,0.00753245
81979,81979,1024308,0.124,Sakda,13-Nov-09,Ammonium,1000,124,0.008339498
82019,82019,1025429,0.084,Sakda,13-Nov-09,Ammonium,1000,84,0.005649338
82059,82059,1026577,0.114,Sakda,13-Nov-09,Ammonium,1000,114,0.007666958
82099,82099,1009927,0.322,Somchair,14-Nov-09,Ammonium,1000,322,0.021655794
82137,82137,1010675,0.067,Busarakhan,14-Nov-09,Ammonium,1000,67,0.004506019
82175,82175,1006333,0.114,Chai,16-Nov-09,Ammonium,1000,114,0.007666958
82215,82215,1007695,0.125,Chai,16-Nov-09,Ammonium,1000,125,0.008406752
82255,82255,1009083,0.096,Chai,16-Nov-09,Ammonium,1000,96,0.006456386
82296,82296,1015494,1.083,Tansanee,16-Nov-09,Ammonium,1000,1083,0.072836102
82312,82312,1011583,0.39,Achara,19-Nov-09,Ammonium,1000,390,0.026229067
82340,82340,1011111,0.17,Decha,20-Nov-09,Ammonium,1000,170,0.011433183
82360,82360,1006390,0.123,Chai,21-Nov-09,Ammonium,1000,123,0.008272244
82374,82374,1007752,0.087,Chai,21-Nov-09,Ammonium,1000,87,0.0058511
82388,82388,1009140,0.098,Chai,21-Nov-09,Ammonium,1000,98,0.006590894
82404,82404,1005014,1.51,Kohsoom,26-Nov-09,Ammonium,1000,1510,0.101553568
82455,82455,1006409,0.103,Chai,29-Nov-09,Ammonium,1000,103,0.006927164
82467,82467,1007771,0.087,Chai,29-Nov-09,Ammonium,1000,87,0.0058511
82479,82479,1009159,0.096,Chai,29-Nov-09,Ammonium,1000,96,0.006456386
82491,82491,1006427,0.104,Chai,05-Dec-09,Ammonium,1000,104,0.006994418
82531,82531,1007789,0.095,Chai,05-Dec-09,Ammonium,1000,95,0.006389132
82571,82571,1009177,0.194,Chai,05-Dec-09,Ammonium,1000,194,0.01304728
82611,82611,1020933,0.112,Kannika,05-Dec-09,Ammonium,1000,112,0.00753245
82651,82651,1022089,0.082,Kannika,05-Dec-09,Ammonium,1000,82,0.00551483
82691,82691,1023246,0.096,Kannika,05-Dec-09,Ammonium,1000,96,0.006456386
82731,82731,1024366,0.091,Sakda,05-Dec-09,Ammonium,1000,91,0.006120116
82771,82771,1025487,0.098,Sakda,05-Dec-09,Ammonium,1000,98,0.006590894
82811,82811,1026635,0.087,Sakda,05-Dec-09,Ammonium,1000,87,0.0058511
82852,82852,1015516,0.644,Tansanee,06-Dec-09,Ammonium,1000,644,0.043311588
82870,82870,1005086,2.81,Kohsoom,10-Dec-09,Ammonium,1000,2810,0.188983792
82894,82894,1011624,0.234,Achara,10-Dec-09,Ammonium,1000,234,0.01573744
82912,82912,1011140,0.113,Decha,12-Dec-09,Ammonium,1000,113,0.007599704
82936,82936,991654,0.16,Boonsri,13-Dec-09,Ammonium,1000,160,0.010760643
82988,82988,993025,0.17,Boonsri,13-Dec-09,Ammonium,1000,170,0.011433183
83040,83040,994392,0.178,Boonsri,13-Dec-09,Ammonium,1000,178,0.011971215
83090,83090,1006483,0.082,Chai,13-Dec-09,Ammonium,1000,82,0.00551483
83100,83100,1007845,0.124,Chai,13-Dec-09,Ammonium,1000,124,0.008339498
83110,83110,1009233,0.113,Chai,13-Dec-09,Ammonium,1000,113,0.007599704
83120,83120,1009983,0.243,Somchair,19-Dec-09,Ammonium,1000,243,0.016342726
83160,83160,1010731,0.094,Busarakhan,19-Dec-09,Ammonium,1000,94,0.006321878
83200,83200,1006498,0.074,Chai,21-Dec-09,Ammonium,1000,74,0.004976797
83210,83210,1007860,0.085,Chai,21-Dec-09,Ammonium,1000,85,0.005716592
83220,83220,1009248,0.093,Chai,21-Dec-09,Ammonium,1000,93,0.006254624
83230,83230,1349094,0.132,Kannika,10-Jan-10,Ammonium,1000,132,0.00887753
83268,83268,1349703,0.124,Kannika,10-Jan-10,Ammonium,1000,124,0.008339498
83306,83306,1350312,0.133,Kannika,10-Jan-10,Ammonium,1000,133,0.008944784
83344,83344,1350921,0.008,Sakda,10-Jan-10,Ammonium,1000,8,0.000538032
83382,83382,1351530,0.092,Sakda,10-Jan-10,Ammonium,1000,92,0.00618737
83420,83420,1352139,0.125,Sakda,10-Jan-10,Ammonium,1000,125,0.008406752
83455,83455,1338581,3.548,Tansanee,15-Jan-10,Ammonium,1000,3548,0.238617257
83463,83463,1328285,0.451,Achara,16-Jan-10,Ammonium,1000,451,0.030331562
83487,83487,1327881,6.138,Decha,17-Jan-10,Ammonium,1000,6138,0.412805165
83515,83515,1341125,0.335,Chai,17-Jan-10,Ammonium,1000,335,0.022530096
83551,83551,1342329,0.305,Chai,17-Jan-10,Ammonium,1000,305,0.020512476
83587,83587,1343533,0.29,Chai,17-Jan-10,Ammonium,1000,290,0.019503665
83624,83624,1338597,2.731,Tansanee,23-Jan-10,Ammonium,1000,2731,0.183670724
83644,83644,1326689,0.616,Somchair,24-Jan-10,Ammonium,1000,616,0.041428475
83682,83682,1327285,0.115,Busarakhan,24-Jan-10,Ammonium,1000,115,0.007734212
83722,83722,1324570,0.159,Boonsri,28-Jan-10,Ammonium,1000,159,0.010693389
83754,83754,1354574,2.438,Kohsoom,28-Jan-10,Ammonium,1000,2438,0.163965297
83790,83790,1341192,0.208,Chai,29-Jan-10,Ammonium,1000,208,0.013988836
83802,83802,1342396,0.17,Chai,29-Jan-10,Ammonium,1000,170,0.011433183
83814,83814,1343600,0.163,Chai,29-Jan-10,Ammonium,1000,163,0.010962405
83827,83827,1338627,2.284,Tansanee,07-Feb-10,Ammonium,1000,2284,0.153608178
83847,83847,1349152,0.133,Kannika,07-Feb-10,Ammonium,1000,133,0.008944784
83882,83882,1349761,0.084,Kannika,07-Feb-10,Ammonium,1000,84,0.005649338
83917,83917,1350370,0.144,Kannika,07-Feb-10,Ammonium,1000,144,0.009684579
83952,83952,1350979,0.975,Sakda,07-Feb-10,Ammonium,1000,975,0.065572668
83987,83987,1351588,0.498,Sakda,07-Feb-10,Ammonium,1000,498,0.033492501
84022,84022,1352197,0.598,Sakda,07-Feb-10,Ammonium,1000,598,0.040217903
84054,84054,1328315,0.07,Achara,11-Feb-10,Ammonium,1000,70,0.004707781
84065,84065,1326747,0.489,Somchair,14-Feb-10,Ammonium,1000,489,0.032887215
84095,84095,1327343,0.108,Busarakhan,14-Feb-10,Ammonium,1000,108,0.007263434
84127,84127,1324619,0.17,Boonsri,18-Feb-10,Ammonium,1000,170,0.011433183
84157,84157,1325353,0.116,Boonsri,18-Feb-10,Ammonium,1000,116,0.007801466
84187,84187,1326023,0.108,Boonsri,18-Feb-10,Ammonium,1000,108,0.007263434
84217,84217,1354631,3.174,Kohsoom,18-Feb-10,Ammonium,1000,3174,0.213464254
84252,84252,1327923,0.331,Decha,19-Feb-10,Ammonium,1000,331,0.02226108
84276,84276,1328330,0.062,Achara,20-Feb-10,Ammonium,1000,62,0.004169749
84302,84302,1341232,0.169,Chai,20-Feb-10,Ammonium,1000,169,0.011365929
84332,84332,1342436,0.132,Chai,20-Feb-10,Ammonium,1000,132,0.00887753
84362,84362,1343640,0.231,Chai,20-Feb-10,Ammonium,1000,231,0.015535678
84389,84389,1328362,0.062,Achara,21-Feb-10,Ammonium,1000,62,0.004169749
84397,84397,1338651,2.325,Tansanee,22-Feb-10,Ammonium,1000,2325,0.156365593
84407,84407,1341287,0.258,Chai,28-Feb-10,Ammonium,1000,258,0.017351537
84420,84420,1342491,0.165,Chai,28-Feb-10,Ammonium,1000,165,0.011096913
84433,84433,1343695,0.137,Chai,28-Feb-10,Ammonium,1000,137,0.009213801
84443,84443,1338660,0.845,Tansanee,05-Mar-10,Ammonium,1000,845,0.056829646
84453,84453,1338675,2.698,Tansanee,11-Mar-10,Ammonium,1000,2698,0.181451342
84471,84471,1349205,0.124,Kannika,12-Mar-10,Ammonium,1000,124,0.008339498
84501,84501,1349814,0.115,Kannika,12-Mar-10,Ammonium,1000,115,0.007734212
84531,84531,1350423,0.125,Kannika,12-Mar-10,Ammonium,1000,125,0.008406752
84561,84561,1351032,0.085,Sakda,12-Mar-10,Ammonium,1000,85,0.005716592
84591,84591,1351641,0.116,Sakda,12-Mar-10,Ammonium,1000,116,0.007801466
84621,84621,1352250,0.103,Sakda,12-Mar-10,Ammonium,1000,103,0.006927164
84648,84648,1328372,0.528,Achara,13-Mar-10,Ammonium,1000,528,0.035510122
84658,84658,1327960,0.267,Decha,18-Mar-10,Ammonium,1000,267,0.017956823
84684,84684,1341325,0.124,Chai,18-Mar-10,Ammonium,1000,124,0.008339498
84714,84714,1342529,0.104,Chai,18-Mar-10,Ammonium,1000,104,0.006994418
84744,84744,1343733,0.187,Chai,18-Mar-10,Ammonium,1000,187,0.012576501
84772,84772,1328387,0.023,Achara,19-Mar-10,Ammonium,1000,23,0.001546842
84798,84798,1326795,0.514,Somchair,20-Mar-10,Ammonium,1000,514,0.034568565
84828,84828,1327391,0.124,Busarakhan,20-Mar-10,Ammonium,1000,124,0.008339498
84860,84860,1354688,3.43,Kohsoom,24-Mar-10,Ammonium,1000,3430,0.230681283
84898,84898,1324668,0.147,Boonsri,25-Mar-10,Ammonium,1000,147,0.009886341
84926,84926,1325402,0.147,Boonsri,25-Mar-10,Ammonium,1000,147,0.009886341
84954,84954,1326072,0.139,Boonsri,25-Mar-10,Ammonium,1000,139,0.009348309
84977,84977,1338699,1.88,Tansanee,27-Mar-10,Ammonium,1000,1880,0.126437555
84987,84987,1341381,0.457,Chai,28-Mar-10,Ammonium,1000,457,0.030735086
85000,85000,1342585,0.566,Chai,28-Mar-10,Ammonium,1000,566,0.038065774
85013,85013,1343789,0.484,Chai,28-Mar-10,Ammonium,1000,484,0.032550945
85024,85024,1328420,0.023,Achara,07-Apr-10,Ammonium,1000,23,0.001546842
85033,85033,1328431,0.07,Achara,08-Apr-10,Ammonium,1000,70,0.004707781
85043,85043,1349252,0.057,Kannika,08-Apr-10,Ammonium,1000,57,0.003833479
85073,85073,1349861,0.033,Kannika,08-Apr-10,Ammonium,1000,33,0.002219383
85103,85103,1350470,0.066,Kannika,08-Apr-10,Ammonium,1000,66,0.004438765
85133,85133,1351079,0.068,Sakda,08-Apr-10,Ammonium,1000,68,0.004573273
85163,85163,1351688,0.074,Sakda,08-Apr-10,Ammonium,1000,74,0.004976797
85193,85193,1352297,0.081,Sakda,08-Apr-10,Ammonium,1000,81,0.005447575
85220,85220,1328440,0.031,Achara,10-Apr-10,Ammonium,1000,31,0.002084875
85233,85233,1338715,4.254,Tansanee,11-Apr-10,Ammonium,1000,4254,0.286098594
85252,85252,1328456,0.28,Achara,16-Apr-10,Ammonium,1000,280,0.018831125
85278,85278,1341419,0.08,Chai,16-Apr-10,Ammonium,1000,80,0.005380321
85309,85309,1342623,0.073,Chai,16-Apr-10,Ammonium,1000,73,0.004909543
85340,85340,1343827,0.064,Chai,16-Apr-10,Ammonium,1000,64,0.004304257
85370,85370,1327997,0.286,Decha,17-Apr-10,Ammonium,1000,286,0.019234649
85395,85395,1326842,0.055,Somchair,18-Apr-10,Ammonium,1000,55,0.003698971
85424,85424,1327438,0.099,Busarakhan,18-Apr-10,Ammonium,1000,99,0.006658148
85455,85455,1354745,1.926,Kohsoom,21-Apr-10,Ammonium,1000,1926,0.129531239
85493,85493,1324715,0.077,Boonsri,22-Apr-10,Ammonium,1000,77,0.005178559
85531,85531,1325449,0.101,Boonsri,22-Apr-10,Ammonium,1000,101,0.006792656
85569,85569,1326119,0.062,Boonsri,22-Apr-10,Ammonium,1000,62,0.004169749
85604,85604,1341472,0.105,Chai,23-Apr-10,Ammonium,1000,105,0.007061672
85615,85615,1342676,0.138,Chai,23-Apr-10,Ammonium,1000,138,0.009281055
85626,85626,1343880,0.121,Chai,23-Apr-10,Ammonium,1000,121,0.008137736
85635,85635,1338742,0.242,Tansanee,08-May-10,Ammonium,1000,242,0.016275472
85645,85645,1341507,0.303,Chai,09-May-10,Ammonium,1000,303,0.020377968
85675,85675,1342711,0.235,Chai,09-May-10,Ammonium,1000,235,0.015804694
85705,85705,1343915,0.137,Chai,09-May-10,Ammonium,1000,137,0.009213801
85735,85735,1349300,0.11,Kannika,14-May-10,Ammonium,1000,110,0.007397942
85764,85764,1349909,0.198,Kannika,14-May-10,Ammonium,1000,198,0.013316296
85793,85793,1350518,0.187,Kannika,14-May-10,Ammonium,1000,187,0.012576501
85822,85822,1351127,0.22,Sakda,14-May-10,Ammonium,1000,220,0.014795884
85851,85851,1351736,0.243,Sakda,14-May-10,Ammonium,1000,243,0.016342726
85880,85880,1352345,0.183,Sakda,14-May-10,Ammonium,1000,183,0.012307485
85906,85906,1328488,0.093,Achara,15-May-10,Ammonium,1000,93,0.006254624
85918,85918,1338758,0.306,Tansanee,15-May-10,Ammonium,1000,306,0.02057973
85936,85936,1324774,0.038,Boonsri,19-May-10,Ammonium,1000,38,0.002555653
85973,85973,1325508,0.062,Boonsri,19-May-10,Ammonium,1000,62,0.004169749
86010,86010,1326178,0.029,Boonsri,19-May-10,Ammonium,1000,29,0.001950367
86044,86044,1328034,0.056,Decha,19-May-10,Ammonium,1000,56,0.003766225
86066,86066,1328503,0.218,Achara,20-May-10,Ammonium,1000,218,0.014661376
86092,86092,1326888,0.195,Somchair,22-May-10,Ammonium,1000,195,0.013114534
86120,86120,1327484,0.135,Busarakhan,22-May-10,Ammonium,1000,135,0.009079292
86150,86150,1354803,3.39,Kohsoom,26-May-10,Ammonium,1000,3390,0.227991122
86185,86185,1341574,0.185,Chai,29-May-10,Ammonium,1000,185,0.012441993
86196,86196,1342778,0.204,Chai,29-May-10,Ammonium,1000,204,0.01371982
86207,86207,1343982,0.165,Chai,29-May-10,Ammonium,1000,165,0.011096913
86219,86219,1338780,0.089,Tansanee,05-Jun-10,Ammonium,1000,89,0.005985608
86241,86241,1326934,0.249,Somchair,13-Jun-10,Ammonium,1000,249,0.016746251
86275,86275,1327530,0.356,Busarakhan,13-Jun-10,Ammonium,1000,356,0.023942431
86308,86308,1328067,0.115,Decha,17-Jun-10,Ammonium,1000,115,0.007734212
86331,86331,1328540,0.047,Achara,17-Jun-10,Ammonium,1000,47,0.003160939
86357,86357,1341611,0.329,Chai,17-Jun-10,Ammonium,1000,329,0.022126572
86393,86393,1342815,0.221,Chai,17-Jun-10,Ammonium,1000,221,0.014863138
86429,86429,1344019,0.201,Chai,17-Jun-10,Ammonium,1000,201,0.013518058
86465,86465,1349346,0.357,Kannika,19-Jun-10,Ammonium,1000,357,0.024009685
86500,86500,1349955,0.384,Kannika,19-Jun-10,Ammonium,1000,384,0.025825543
86535,86535,1350564,0.269,Kannika,19-Jun-10,Ammonium,1000,269,0.018091331
86570,86570,1351173,0.258,Sakda,19-Jun-10,Ammonium,1000,258,0.017351537
86605,86605,1351782,0.311,Sakda,19-Jun-10,Ammonium,1000,311,0.020916
86640,86640,1352391,0.207,Sakda,19-Jun-10,Ammonium,1000,207,0.013921582
86677,86677,1324828,0.071,Boonsri,23-Jun-10,Ammonium,1000,71,0.004775035
86715,86715,1325562,0.279,Boonsri,23-Jun-10,Ammonium,1000,279,0.018763871
86753,86753,1326232,0.31,Boonsri,23-Jun-10,Ammonium,1000,310,0.020848746
86791,86791,1354857,5.58,Kohsoom,23-Jun-10,Ammonium,1000,5580,0.375277423
86824,86824,1338809,0.053,Tansanee,24-Jun-10,Ammonium,1000,53,0.003564463
86831,86831,1328571,0.006,Achara,30-Jun-10,Ammonium,1000,6,0.000403524
86841,86841,1341678,0.318,Chai,30-Jun-10,Ammonium,1000,318,0.021386778
86853,86853,1342882,0.223,Chai,30-Jun-10,Ammonium,1000,223,0.014997646
86865,86865,1344086,0.174,Chai,30-Jun-10,Ammonium,1000,174,0.011702199
86874,86874,1328580,0.085,Achara,08-Jul-10,Ammonium,1000,85,0.005716592
86881,86881,1338819,0.074,Tansanee,09-Jul-10,Ammonium,1000,74,0.004976797
86897,86897,1341711,0.331,Chai,15-Jul-10,Ammonium,1000,331,0.02226108
86931,86931,1342915,0.164,Chai,15-Jul-10,Ammonium,1000,164,0.011029659
86965,86965,1344119,0.093,Chai,15-Jul-10,Ammonium,1000,93,0.006254624
86998,86998,1328104,0.183,Decha,16-Jul-10,Ammonium,1000,183,0.012307485
87016,87016,1328594,0.085,Achara,16-Jul-10,Ammonium,1000,85,0.005716592
87040,87040,1338843,0.193,Tansanee,16-Jul-10,Ammonium,1000,193,0.012980026
87050,87050,1349399,0.117,Kannika,18-Jul-10,Ammonium,1000,117,0.00786872
87084,87084,1350008,0.117,Kannika,18-Jul-10,Ammonium,1000,117,0.00786872
87118,87118,1350617,0.037,Kannika,18-Jul-10,Ammonium,1000,37,0.002488399
87152,87152,1351226,0.141,Sakda,18-Jul-10,Ammonium,1000,141,0.009482817
87186,87186,1351835,0.079,Sakda,18-Jul-10,Ammonium,1000,79,0.005313067
87220,87220,1352444,0.057,Sakda,18-Jul-10,Ammonium,1000,57,0.003833479
87254,87254,1326986,0.362,Somchair,22-Jul-10,Ammonium,1000,362,0.024345955
87286,87286,1327582,0.367,Busarakhan,22-Jul-10,Ammonium,1000,367,0.024682225
87318,87318,1338858,0.166,Tansanee,22-Jul-10,Ammonium,1000,166,0.011164167
87336,87336,1341769,0.081,Chai,23-Jul-10,Ammonium,1000,81,0.005447575
87345,87345,1342973,0.063,Chai,23-Jul-10,Ammonium,1000,63,0.004237003
87354,87354,1344177,0.086,Chai,23-Jul-10,Ammonium,1000,86,0.005783846
87367,87367,1324886,0.357,Boonsri,24-Jul-10,Ammonium,1000,357,0.024009685
87405,87405,1325620,0.024,Boonsri,24-Jul-10,Ammonium,1000,24,0.001614096
87443,87443,1326290,0.225,Boonsri,24-Jul-10,Ammonium,1000,225,0.015132154
87481,87481,1354915,2.99,Kohsoom,28-Jul-10,Ammonium,1000,2990,0.201089515
87514,87514,1338885,0.01,Tansanee,05-Aug-10,Ammonium,1000,10,0.00067254
87526,87526,1341805,0.294,Chai,11-Aug-10,Ammonium,1000,294,0.019772681
87560,87560,1343009,0.263,Chai,11-Aug-10,Ammonium,1000,263,0.017687807
87594,87594,1344213,0.225,Chai,11-Aug-10,Ammonium,1000,225,0.015132154
87625,87625,1328633,0.163,Achara,12-Aug-10,Ammonium,1000,163,0.010962405
87650,87650,1338898,0.547,Tansanee,14-Aug-10,Ammonium,1000,547,0.036787948
87671,87671,1349453,0.344,Kannika,14-Aug-10,Ammonium,1000,344,0.023135382
87704,87704,1350062,0.324,Kannika,14-Aug-10,Ammonium,1000,324,0.021790302
87737,87737,1350671,0.342,Kannika,14-Aug-10,Ammonium,1000,342,0.023000874
87770,87770,1351280,0.336,Sakda,14-Aug-10,Ammonium,1000,336,0.02259735
87803,87803,1351889,0.347,Sakda,14-Aug-10,Ammonium,1000,347,0.023337144
87836,87836,1352498,0.352,Sakda,14-Aug-10,Ammonium,1000,352,0.023673414
87871,87871,1324943,0.295,Boonsri,18-Aug-10,Ammonium,1000,295,0.019839935
87909,87909,1325677,0.427,Boonsri,18-Aug-10,Ammonium,1000,427,0.028717466
87947,87947,1326347,0.388,Boonsri,18-Aug-10,Ammonium,1000,388,0.026094559
87980,87980,1328665,0.101,Achara,18-Aug-10,Ammonium,1000,101,0.006792656
87989,87989,1328130,0.03,Decha,21-Aug-10,Ammonium,1000,30,0.002017621
88015,88015,1341873,0.148,Chai,26-Aug-10,Ammonium,1000,148,0.009953595
88027,88027,1343077,0.195,Chai,26-Aug-10,Ammonium,1000,195,0.013114534
88039,88039,1344277,0.079,Chai,26-Aug-10,Ammonium,1000,79,0.005313067
88053,88053,1354974,2.64,Kohsoom,26-Aug-10,Ammonium,1000,2640,0.177550609
88089,88089,1327036,0.293,Somchair,28-Aug-10,Ammonium,1000,293,0.019705427
88120,88120,1327632,0.332,Busarakhan,28-Aug-10,Ammonium,1000,332,0.022328334
88151,88151,1349505,0.213,Kannika,02-Sep-10,Ammonium,1000,213,0.014325106
88185,88185,1350114,0.156,Kannika,02-Sep-10,Ammonium,1000,156,0.010491627
88219,88219,1350723,0.216,Kannika,02-Sep-10,Ammonium,1000,216,0.014526868
88253,88253,1351332,0.135,Sakda,02-Sep-10,Ammonium,1000,135,0.009079292
88287,88287,1351941,0.176,Sakda,02-Sep-10,Ammonium,1000,176,0.011836707
88321,88321,1352550,0.196,Sakda,02-Sep-10,Ammonium,1000,196,0.013181788
88352,88352,1324992,0.217,Boonsri,03-Sep-10,Ammonium,1000,217,0.014594122
88357,88357,1325726,0.248,Boonsri,03-Sep-10,Ammonium,1000,248,0.016678997
88362,88362,1326396,0.427,Boonsri,03-Sep-10,Ammonium,1000,427,0.028717466
88370,88370,1341900,0.235,Chai,04-Sep-10,Ammonium,1000,235,0.015804694
88403,88403,1343104,0.268,Chai,04-Sep-10,Ammonium,1000,268,0.018024077
88436,88436,1344304,0.285,Chai,04-Sep-10,Ammonium,1000,285,0.019167395
88467,88467,1338927,0.943,Tansanee,05-Sep-10,Ammonium,1000,943,0.063420539
88474,88474,1328674,0.039,Achara,09-Sep-10,Ammonium,1000,39,0.002622907
88482,88482,1325001,0.582,Boonsri,10-Sep-10,Ammonium,1000,582,0.039141839
88487,88487,1325735,0.404,Boonsri,10-Sep-10,Ammonium,1000,404,0.027170623
88492,88492,1326405,0.52,Boonsri,10-Sep-10,Ammonium,1000,520,0.03497209
88500,88500,1338941,2.514,Tansanee,10-Sep-10,Ammonium,1000,2514,0.169076602
88512,88512,1341957,0.125,Chai,12-Sep-10,Ammonium,1000,125,0.008406752
88520,88520,1343161,0.096,Chai,12-Sep-10,Ammonium,1000,96,0.006456386
88528,88528,1344361,0.107,Chai,12-Sep-10,Ammonium,1000,107,0.00719618
88537,88537,1328168,0.035,Decha,16-Sep-10,Ammonium,1000,35,0.002353891
88561,88561,1328689,0.109,Achara,17-Sep-10,Ammonium,1000,109,0.007330688
88589,88589,1325017,0.427,Boonsri,25-Sep-10,Ammonium,1000,427,0.028717466
88625,88625,1325751,0.31,Boonsri,25-Sep-10,Ammonium,1000,310,0.020848746
88661,88661,1326421,0.31,Boonsri,25-Sep-10,Ammonium,1000,310,0.020848746
88692,88692,1325065,0.233,Boonsri,29-Sep-10,Ammonium,1000,233,0.015670186
88710,88710,1325799,0.093,Boonsri,29-Sep-10,Ammonium,1000,93,0.006254624
88728,88728,1326469,0.101,Boonsri,29-Sep-10,Ammonium,1000,101,0.006792656
88751,88751,1355032,2.31,Kohsoom,29-Sep-10,Ammonium,1000,2310,0.155356783
88787,88787,1327085,0.115,Somchair,30-Sep-10,Ammonium,1000,115,0.007734212
88819,88819,1327681,0.1,Busarakhan,30-Sep-10,Ammonium,1000,100,0.006725402
88850,88850,1338958,0.01,Tansanee,13-Oct-10,Ammonium,1000,10,0.00067254
88860,88860,1342004,0.248,Chai,13-Oct-10,Ammonium,1000,248,0.016678997
88892,88892,1343208,0.172,Chai,13-Oct-10,Ammonium,1000,172,0.011567691
88924,88924,1344408,0.144,Chai,13-Oct-10,Ammonium,1000,144,0.009684579
88953,88953,1328722,0.023,Achara,14-Oct-10,Ammonium,1000,23,0.001546842
88962,88962,1325095,0.139,Boonsri,15-Oct-10,Ammonium,1000,139,0.009348309
88976,88976,1325829,0.155,Boonsri,15-Oct-10,Ammonium,1000,155,0.010424373
88990,88990,1326499,0.101,Boonsri,15-Oct-10,Ammonium,1000,101,0.006792656
89008,89008,1338972,0.168,Tansanee,15-Oct-10,Ammonium,1000,168,0.011298675
89023,89023,1349558,0.102,Kannika,15-Oct-10,Ammonium,1000,102,0.00685991
89055,89055,1350167,0.12,Kannika,15-Oct-10,Ammonium,1000,120,0.008070482
89087,89087,1350776,0.078,Kannika,15-Oct-10,Ammonium,1000,78,0.005245813
89119,89119,1351385,0.113,Sakda,15-Oct-10,Ammonium,1000,113,0.007599704
89151,89151,1351994,0.12,Sakda,15-Oct-10,Ammonium,1000,120,0.008070482
89183,89183,1352603,0.104,Sakda,15-Oct-10,Ammonium,1000,104,0.006994418
